Metodo,Fitness,Pa,vt,vs,A,Pe,E,Et,Es,we,wa,Tempo de execucao
Neumann,1.0130599,0.71435547,1.3998632,0.39986324,1.3998632,28.564453,3.5008547,0.035008546,3.4658463,0.2,0.8,122ms
Neumann,0.9988828,0.69189453,1.445307,0.44530702,1.445307,30.810547,3.245642,0.032456417,3.2131855,0.2,0.8,128ms
Neumann,1.0042702,0.7023926,1.4237052,0.42370522,1.4237052,29.760742,3.3601313,0.033601314,3.32653,0.2,0.8,124ms
Neumann,0.9992963,0.6928711,1.4432698,0.44326985,1.4432698,30.71289,3.255962,0.03255962,3.2234023,0.2,0.8,124ms
Neumann,1.0091174,0.70947266,1.4094976,0.40949762,1.4094976,29.052734,3.4420168,0.03442017,3.4075966,0.2,0.8,478ms
Neumann,1.0008838,0.69628906,1.4361851,0.43618512,1.4361851,30.371094,3.2926044,0.032926045,3.2596784,0.2,0.8,303ms
Neumann,1.0217121,0.7233887,1.3823828,0.38238275,1.3823828,27.661133,3.615181,0.036151808,3.579029,0.2,0.8,168ms
Neumann,0.9950632,0.6791992,1.4723221,0.4723221,1.4723221,32.08008,3.1171994,0.031171994,3.0860274,0.2,0.8,124ms
Neumann,1.0553122,0.7480469,1.3368146,0.33681464,1.3368146,25.195312,3.9689922,0.03968992,3.9293022,0.2,0.8,126ms
Neumann,1.0031084,0.70043945,1.4276751,0.42767513,1.4276751,29.956055,3.3382232,0.033382233,3.304841,0.2,0.8,385ms
Neumann,1.0013777,0.6972656,1.4341737,0.4341737,1.4341737,30.273438,3.3032258,0.033032257,3.2701936,0.2,0.8,125ms
Neumann,1.0134819,0.71484375,1.3989071,0.39890707,1.3989071,28.515625,3.5068493,0.035068493,3.4717808,0.2,0.8,123ms
Neumann,1.0069891,0.70654297,1.4153421,0.4153421,1.4153421,29.345703,3.4076538,0.034076538,3.3735774,0.2,0.8,123ms
Neumann,0.998782,0.6916504,1.4458171,0.4458171,1.4458171,30.83496,3.243072,0.03243072,3.2106414,0.2,0.8,122ms
Neumann,1.0168111,0.71850586,1.3917772,0.39177716,1.3917772,28.149414,3.5524719,0.03552472,3.5169473,0.2,0.8,120ms
Neumann,1.0010056,0.6965332,1.4356817,0.4356817,1.4356817,30.34668,3.2952535,0.032952536,3.262301,0.2,0.8,122ms
Neumann,1.0024198,0.69921875,1.4301676,0.43016756,1.4301676,30.078125,3.3246753,0.033246752,3.2914286,0.2,0.8,661ms
Neumann,1.0214542,0.72314453,1.3828495,0.38284945,1.3828495,27.685547,3.6119928,0.03611993,3.575873,0.2,0.8,123ms
Neumann,1.0022855,0.6989746,1.4306672,0.43066716,1.4306672,30.10254,3.3219788,0.03321979,3.288759,0.2,0.8,133ms
Neumann,1.0172772,0.71899414,1.390832,0.39083195,1.390832,28.100586,3.5586448,0.035586447,3.5230584,0.2,0.8,124ms
